INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-34-0000-2019-4c4,CA0340000,12/22/2019,12:30,RIO LINDA,SACRAMENTO,CA,95673,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-34-0000-2019-516,CA0340000,5/21/2019,12:12,SACRAMENTO,SACRAMENTO,CA,95814,FALSE,FALSE,FALSE,FALSE,in_custody_event,other,1,1,1
URSUS-34-0000-2019-562,CA0340000,2/25/2019,23:10,SACRAMENTO,SACRAMENTO,CA,95814,FALSE,FALSE,FALSE,FALSE,in_custody_event,awaiting_booking,1,2,1
URSUS-34-0000-2019-6bd,CA0340000,10/6/2019,02:15,HERALD,SACRAMENTO,CA,95638,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-34-0000-2019-7fb,CA0340000,10/27/2019,12:32,CARMICHAEL,SACRAMENTO,CA,95608,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,1
URSUS-34-0000-2019-89c,CA0340000,11/21/2019,23:04,SACRAMENTO,SACRAMENTO,CA,95825,FALSE,FALSE,FALSE,FALSE,call_for_service,,1,1,1
URSUS-34-0000-2019-bc5,CA0340000,12/1/2019,19:13,ORANGEVALE,SACRAMENTO,CA,95662,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-34-0400-2019-04a,CA0340400,4/25/2019,12:19,SACRAMENTO,SACRAMENTO,CA,95816,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-34-0400-2019-083,CA0340400,5/15/2019,02:39,SACRAMENTO,SACRAMENTO,CA,95828,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,1
URSUS-34-0400-2019-123,CA0340400,4/25/2019,22:27,SACRAMENTO,SACRAMENTO,CA,95831,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-34-0400-2019-306,CA0340400,2/28/2019,04:04,SACRAMENTO,SACRAMENTO,CA,95819,FALSE,FALSE,FALSE,FALSE,call_for_service,,1,3,1
URSUS-34-0400-2019-3c3,CA0340400,10/1/2019,06:51,SACRAMENTO,SACRAMENTO,CA,95814,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,4,1
URSUS-34-0400-2019-677,CA0340400,12/18/2019,18:54,SACRAMENTO,SACRAMENTO,CA,95811,FALSE,FALSE,FALSE,TRUE,call_for_service,,2,1,1
URSUS-34-0400-2019-7a0,CA0340400,6/18/2019,14:46,SACRAMENTO,SACRAMENTO,CA,95815,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,2,1
URSUS-34-0400-2019-7cc,CA0340400,6/19/2019,18:10,SACRAMENTO,SACRAMENTO,CA,95815,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,10,2
URSUS-34-0400-2019-933,CA0340400,3/12/2019,23:10,SACRAMENTO,SACRAMENTO,CA,95815,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,3,1
URSUS-34-0400-2019-973,CA0340400,6/12/2019,01:16,SACRAMENTO,SACRAMENTO,CA,95823,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-34-0400-2019-b65,CA0340400,4/5/2019,17:27,SACRAMENTO,SACRAMENTO,CA,95827,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-34-0C00-2019-b12,CA0340C00,6/5/2019,08:31,GOLD RIVER,SACRAMENTO,CA,95670,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,1
URSUS-34-0H00-2019-142,CA0340H00,4/19/2019,14:59,ELK GROVE,SACRAMENTO,CA,95624,FALSE,FALSE,TRUE,TRUE,consensual,,1,1,1
URSUS-34-0H00-2019-164,CA0340H00,6/5/2019,20:43,ELK GROVE,SACRAMENTO,CA,95624,FALSE,FALSE,TRUE,TRUE,in_progress,,2,3,1
URSUS-34-0H00-2019-69d,CA0340H00,1/17/2019,10:56,SACRAMENTO,SACRAMENTO,CA,95828,FALSE,FALSE,TRUE,TRUE,consensual,,1,2,1
URSUS-34-0H00-2019-6c2,CA0340H00,4/20/2019,23:08,ELK GROVE,SACRAMENTO,CA,95758,FALSE,FALSE,TRUE,TRUE,in_progress,,1,2,1
URSUS-34-1200-2019-26f,CA0341200,6/22/2019,18:57,BIG SUR,MONTEREY,CA,93920,FALSE,FALSE,FALSE,TRUE,in_progress,,1,2,1
URSUS-34-9600-2019-11d,CA0349600,3/11/2019,07:44,CITRUS HEIGHTS,SACRAMENTO,CA,95610,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-34-9600-2019-c0d,CA0349600,7/9/2019,19:25,CITRUS HEIGHTS,SACRAMENTO,CA,95610,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-34-9900-2019-081,CA0349900,7/23/2019,19:00,SALINAS,MONTEREY,CA,93908,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-34-9900-2019-0dc,CA0349900,10/5/2019,16:00,PIRU,VENTURA,CA,93040,FALSE,FALSE,FALSE,FALSE,ambush,,1,1,1
URSUS-34-9900-2019-135,CA0349900,4/24/2019,21:29,SANTA BARBARA,SANTA BARBARA,CA,93110,FALSE,FALSE,TRUE,TRUE,in_progress,,1,1,1
URSUS-34-9900-2019-327,CA0349900,8/27/2019,09:09,OAKLAND,ALAMEDA,CA,94611,FALSE,FALSE,TRUE,TRUE,in_progress,,1,3,1
URSUS-34-9900-2019-3ee,CA0349900,8/30/2019,11:21,BAKERSFIELD,KERN,CA,93307,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,5,1
URSUS-34-9900-2019-462,CA0349900,10/8/2019,23:34,CASTRO VALLEY,ALAMEDA,CA,94552,FALSE,FALSE,TRUE,TRUE,consensual,,1,2,1
URSUS-34-9900-2019-465,CA0349900,7/5/2019,06:08,OAK VIEW,VENTURA,CA,93022,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-34-9900-2019-532,CA0349900,1/24/2019,12:22,RIVERSIDE,RIVERSIDE,CA,92504,FALSE,FALSE,TRUE,TRUE,consensual,,1,2,1
URSUS-34-9900-2019-583,CA0349900,9/5/2019,12:14,HURON,FRESNO,CA,93234,FALSE,FALSE,TRUE,TRUE,in_progress,,1,3,2
URSUS-34-9900-2019-5d6,CA0349900,8/5/2019,14:00,HAYFORK,TRINITY,CA,96041,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,1
URSUS-34-9900-2019-6a7,CA0349900,7/1/2019,22:58,LINDSAY,TULARE,CA,93247,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,1
URSUS-34-9900-2019-748,CA0349900,4/25/2019,04:55,SOLANA BEACH,SAN DIEGO,CA,92075,FALSE,FALSE,TRUE,TRUE,in_progress,,1,4,1
URSUS-34-9900-2019-78f,CA0349900,4/3/2019,10:12,LOS ANGELES,LOS ANGELES,CA,91352,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-34-9900-2019-7d6,CA0349900,1/12/2019,11:15,CALABASAS,LOS ANGELES,CA,91302,FALSE,FALSE,FALSE,TRUE,in_progress,,1,3,2
URSUS-34-9900-2019-859,CA0349900,7/17/2019,04:15,VICTORVILLE,SAN BERNARDINO,CA,92392,TRUE,FALSE,TRUE,TRUE,in_custody_event,other,1,2,1
URSUS-34-9900-2019-909,CA0349900,4/19/2019,01:50,STOCKTON,SAN JOAQUIN,CA,95212,FALSE,FALSE,FALSE,TRUE,in_progress,,1,1,1
